tweets,target
I like this lady percent Speak very well and clear so professional She never take side or condemn she is not like Ms picky keep on shouting .,1
"​ @soytitv4114 do you know votes can be manipulated? Because of votes, many countries going down and the government doesn't start doing right things.",1
"In today's world, whoever has the right to speak in the media is a good person ",1
No o.o,1
"Is it only applicable for India or China as well?. Can you advise the same to your Master, China and alive?.",1
"​ @MrRasun  don't jump like popcorn sincer you found a new papa in form of China, first look at your countries action or else India will give equal and opposite reaction at the minimum",1
o.o Of course you commis FEAR India. We know why. haha,1
They will never show this. This Indian channels will cease to exist without propaganda news about China.,0
​​ @Cannoli_JJ cryna always lost war with small countries.,0
Shes becoming a diva asking for too much money thats why wion fired her,1
​ @user-cy3ts5xt6c  yess yess brahmos is an ordinary missile. India tested Pakistan's crynese made air defence by firing a brahmos missile and crynese air defence failed to shoot it down .,0
Gutter oil bot crying ,0
" @gireeshkumar511 
They do not look like Indian. The British took them while China was weak with last Manchu Dynasty. India has nothing to claim as hers!",0
"​ @tda7294 ,

Looks like you are still sleeping under your coconut shell. There are many in India. Hello dude, most of Mongolian population live in Inner Mongolia which is under China.",1
"India doesn't want to get into war.  But China wants grab India's Territory, so what do you do?  Defend or surrender?  It also wants to grab territory of its neighbors like Philippines/ Vietnam etc.",1
"​ @Nk99995 china wanted to make a compromise where territories under indian control become indian and under Chinese control become Chinese,

In simple English, the LOC becomes new borders for both countries but Pakistan misled China into believing that India under modi was planning to attack and push LOC so they reacted based on false information.

Both countries can still agree to it and ignore pakistans interference",0
" @Nk99995  No one wants your territory, but you occupy other people's territory. You were threatening Nepal just a few days ago.",0
"​ @Nk99995 First you get the facts straight, China and Vietnam and the Philippines do not have territorial disputes, it is a territorial sea island dispute, caused by historical reasons. China only has territorial disputes with India. It is idiotic to say that China wants to occupy Indian territory.",0
 @Nk99995  Did Godi media tell you this? Didn't they tell you that China collapsed? Lol,1
" @user-hu1tj6xu1h    if you say facts, prove it?  How and when India occupied Arunachal Pradesh from China? Territory also include sea as well. All Chinese historical facts is a 3200BC map of Ping pong dynasty when China didn't even exist.  China has a great civilization history but doesn't mean that of all smaller countries are Chinese just because they look like Chinese.",1
" @Argus-ut8gi  just because you dont have any facts to to argue or discuss, you hide with these statements.   No facts, then keep the trap closed",0
just look at people in arunachal. are they really infian race?,1
 @Nk99995  Read about the territorial disputes and history between India and China before commenting otherwise feel like an idiot.,0
" @Nk99995  India did not exist in history, okay? China used to have a lot of disputed territory with India, because of the fall of China's Qing dynasty, it was occupied by Britain, then Britain withdrew, India became a nation, Britain drew a demarcation line, it was like an idiot",0
" @Nk99995 you should listen to dr jaishankar, India and china are neighbours and have been dealing with their little differences for hundreds and thousands of years. As long as all parties reject bribes from alcapone, no casualties will come close to gaza,Ukraine Hope you get my point! Again my respect  to Dr Jaishankar!",0
" @jchung5265  True, as I said China is a great country which lifted millions out of poverty and is a shining example to many developing countries to learn. But last 2 decades, something changed as China grew/developed and became powerful. It suddenly started Paper Visa's to Indians in Arunachal Pradesh and Started claims on the region.  It also started claims on Bhutan and Philippines building artificial islands and deploying military.  If China can go back for what it was 20 years ago with it's stated positions and accept line of control (20 years ago), there will be peace.",1
Man I hope this never happens the US and its allies would love that.,1
"I was looking for Palki, where is she? I am very disappointed that she didn’t report this piece.",0
"Dictator Modi must be so jealous lol  I'm sure 
Palki must be burning in jealousy over this too lol",1
"Why do all military rankings rank China above India? 1962? Wait, didn't the Indians claimed that they had won in the 1967 ""war""? The score should be even like China: 1 and India:1 on paper? Oh, wait again, all historians said there is no war between China and India in 1967 but only a small 3-day skirmish from 11/09/1967 to 14/09/1967 Read article ""How the U.S. viewed the 1967 Sikkim skirmishes between India and China (Brookings)"". I guess that is the reason why China > India. ",0
Good for China!!! Do not let Americans bully you lol,1
"India seems to be a Padosi in jealousy, unable to acknowledge the success of others.",0
"Do not think that by posting anti China propaganda will make India strong? U only waste resources in not posting responsible videos. When China do things, they do it with heart and  soul to complete a task. When India do things, they see what China is doing and follow suit without learning the basic and jump to the last stage asap.",1
"We no longer see the world in terms of military but economy, not just economy but an economy that benefits ordinary people.",0
"It’s not quantity , but QUALITY IS THE MOST IMPORTANT  !",1
Inexperienced China VS The God Of War,0
Useless dictator Modi shock watching this.,0
Endian defence minister wet his pants twice already with this knowledge. ,0
"​ @agnistorm2024 
Love to be a China Bot✌️✌️",1
not a real country. somalia is,0
Haha,1
 @imfromisrael489 hahahaha,1
"Why not talk about the first island chain?
Then you also said: ""There are American troops all around the Chinese coastline""
...what?",1
"11:18 Always reminisce about the extraordinary day of December 8, 2021. An Indian highest priority VIP helicopter mission transporting India's most important senior commander Bipin as well as many of India's most highest ranking captains, generals, officers, chiefs, squadron leaders all onboard crashed resulting in the death of all 14 passengers. If India cannot even guarantee their most senior military officer safety during a short and simple 4 minute flight, how can they possibly accomplish anything?

This isn't a story concocted by India's opponents to paint India's military as inept. It's a factual account supported by concrete evidence captured on video. This incident will undoubtedly be recorded in history as one of the most remarkable of all time",1
"My condolences to all the victims who suffered and died because of the |ndian regime.
Land grabbing and expansionist |ndia since 1947 independence.
1947 Annexation of Kashmir
1948  Annexation of Hyderabad
1948 Annexation of Junagadh
1949 Annexation of Manipur
1949 Annexation of Tripura
1951 Annexation of South Tibet
1951 Nagaland plebiscite - 99.9% of the Nagas wanted independence from India
1961 Annexation of Goa
1962 Annexation of Kalapani, Nepal
1962 Aggression against China
1971 Annexation of Turtuk, Pakistan
1972 Annexation of Tin Bigha, Bangladesh
1975 Annexation of Sikkim (the whole country)
1983 (Aborted) Attempted invasion of Mauritius
1990 (Failed) Attempted annexation of Bhutan
2006 Annexation of Duars, Bhutan
2013 Annexation of Moreh, Myanmar 

There were 565 Princely States in 1946.What Nehru inherited from the colonial masters was only 1/3 the size of modern |ndia, which was basically Uttar Pradesh-Haryana-Bihar, which have a lot of people. He also inherited the colonial army and navy. With army and navy in hand, Nehru coerced all the princely states to join his empire. That's why India is so prickly about sovereignty and having its claims challenged. If they don't keep a lid on things, their empire could collapse.",0
"The dragon want to challenge America with their ""house boats""? LOL Insanity is growing by the seconds.",1
"A poor country like India, where the majority of its population lives in extreme poverty, should prioritize addressing poverty instead of allocating funds to build unnecessary temples, statues, and doing unnecessary space missions. India ranks 111th out of 125 countries in the World Hunger Index. Modi should concentrate on feeding the 1.4 billion hungry Indians to improve the hunger index ranking.",0
"India could have been so much more, if only it had learned from the Chinese.",1
"India is currently grappling with the Nipah virus outbreak, yet awareness of this issue remains limited due to the stringent control exerted by the Indian government over the media. This lack of widespread coverage hampers public understanding and response to the Nipah virus, highlighting the challenges posed by media censorship and the importance of transparent and open communication during health crises. Increased awareness and access to accurate information are crucial in effectively managing such outbreaks and safeguarding public health.",1
The main difference is that China's military is for DEFENSE purposes. Not offense like other countries,0
"China claimed that they won in the 1962 war and provided 
1) Video proof for example, ""The crushing moment: China India 1962 war - Part 1"" and ""The crushing moment: China India 1962 war - Part 2""
2) Territory Trophy Aksai Chin 1962
3) Indian prisoners of war captured
India claimed that they won in the 1967 ""war"", a 3-day battle from 11/09/1967 to 14/09/1967 (Nathu La), and provided
1) No video proof
2) No territorial victory
3) No Chinese prisoners of war captured.
All historians said that the 1967 ""war"" was not a war but only a ""skirmish"". ➡How the U.S. viewed the 1967 Sikkim skirmishes between India and China (Brookings) Noticed that they had use ""skirmish"" rather than ""war"".",1
"Yes we failed at that moment that doesn't mean we are like that and nor we gonna remain a failure, we will learn from mistake and rise up stronger, while you keep yourself stuck on negativity, when shall take pride in our glorious history , Jai Hind",0
" @saffron1977  Glorious history? You spent the last 1000+ years surrendering and getting invaded and colonized. Glorious indeed. 
1) ""Abhijit Chavda: China's Century of Humiliation; India's MILLENNIUM Of Humiliation"".
2) General Bakshi, 3rd highest ranking military officer of India: ""|ndia had 800 years of subjugation.""
",0
Sure it for defence purpose ,1
 @Pikachu.440  For the last 70 years how many wars had China started? How many countries have they bombed? How mant mulitary operations have they participated in? ZERO,1
"Even if x4 force of china against 1 USA,china cannot win the battle.",1
TOTAL NONSENSE. ALL PROPAGANDA. WASTE OF TIME,0
the balance of power is slowly changing...India shouldn't be caught on the wrong side,0
The Chinese Navy is not a Blue water Navy yet it would be silly.,0
How much Chinese navy is useful that will be the big question?,1
Its not in the number of war ships but capability so If India becomes 3rd largest Naval force with advanced capability tactics then its more than enough to counter china.,1
Africa has 54 countries in the African continent itself and you don't see them forcing every country in the continent to unite as one. Why? Because they have no common language or history with one another and their leaders respect sovereignty of each and every tribe leaders (what it used to be called). Why can't India do the same?,1
"Indians are defeated by the Chinese in the 1962 war. It was the most humiliating defeat in history if you were to examine all the facts that were involved in the war. This is the ultimate proof that war tactics/strategy/determination/will power/bravery triumphs over superior weapons/technology/cowardice.
1) The Chinese were having the ""great Chinese famine"" from 1658 to 1962. China was too weak to defend itself.
2) India had Israeli and American support in the form of supplies/weaponry. Research on ""Israel aid to India in the 1962 war"" and ""America's aid to India in the 1962 war"" and ""JFK’s Forgotten Crisis"".
3) The Sino-Soviet split from 1960 - 1962. China had nothing. No weapons, guns, artillery supplies from either Western and Soviet and no food (serious famine).
4) Despite all these advantages, India lost. 
5) There are no excuses for such a humiliating defeat. That is why India is so desperate to have the ""Henderson Brooks and Neville Maxwell report of the 1962 war"" concealed forever and also to hide which country is the true aggressor of the war. When it was leaked into the internet momentarily in 2014, India demanded the report to be purged permanently from the internet citing ""national security""....just like BBC's documentary on the 2002 Gujarat Massacre and Modi's involvement.",1
​ @Argus-ut8gi  heres   stop crying,0
" @narutos138  Only a puppet will accept the drumstick from its master. 
Ordinary people buy it with their own money.",1
 @Argus-ut8gi  here's for you too   stop crying,0
 @narutos138  Warmonger and his puppets hugged each other and cried together.,0
 @Argus-ut8gi  heres  find your own wolf  pact to cry on ,1
" @BlinkShadow  and you dont have a job thats why your trolling here, heres your    i love how you all cry for philippines favor",1
 @BlinkShadow  hahaha someone is defensive jobless still ,1
Seriously? Remember the war of two Korea.,0
tin can ship! LOL,1
you mean after usa and india ,0
As i reply to this china is over whelm enough to defeat the American's but the truth is xin li is afraid of being beaten,0
" @BongPamoceno  i think you're confused about who xin li is??  - the truth of the matter is ding dong bing bong is the one who is afraid of being beaten, together with his master sleepy joe ",0
India is the weakest naval power - poor yeah?,0
"Not only the Western Pacific Ocean, the Mekong River is also an active target of china expansionism.",0
WhyIndia cant be a leader This video is a perfect example of India is just a follower.,1
"So China has its 3rd Aircraft carrier, when will india have its own, very first toilet?",1
I can see a lot of Chinese bot in comment sectionshouldn't china build quality navel ships instead of cheap ones with the money they are hiring bot,1
"China may have the largest navy and the biggest army in the world, but the US has the largest Air Force and the best military technology in the world! Air power versus navy power?  You know who will dominate!!",1
"China's creeping expansion has reached the Philippines EEZ,from the Paracels  islands to Fiery Cross reef , Subi reef, Johnson reef, Julian Felipe reef, Itu Aba,  Mischief reef, Sandy Cay, Scarborough shoal and Ayungin shoal.
China built several artificial islands on the reefs and turned them into military bases.
Its ten-dash line was ruled invalid , without legal basis by UNCLOS permanent court of Arbitration. China, a member of UNCLOS rejected .Too bad for China building a big navy but disregard international rule of law. The comparable US navy stands on the rule of law to deter China and uphold freedom of navigation in the south China sea.",0
A number 1 superpower in naval but NO experience in real war how it happened?,1
"Rubbish headlines, illed minded and jealously, bias and pro western or Indian news channel..

Sick of this news channel",0
The greatest naval battle in history was Trafalgar.,1
"@saanjanibaar8085  they were using aircraft carrier type ships during WW2. Now, these ships are just modernized and more efficient.",1
China can't be that confident flooding the internet with bots.,1
"It depends where do they fight. If it is in Asia, the logistics constraints would take America down, no fight.",0
It seems that there is only one country that has its own independent space station.,1
Taking the heavy tonnage of US’s air carrier to calculate the strength of US’s navy is not the best way to assess its military’s strength and most naval experts agree that china’s hypersonic missiles make US’s air carriers obsolete.,1
Best military technology? Russia is easily destroying those big claimed best technology. Nezi west propaganda,1
 @NPC6013  Ukrainian is already finished in real term but now Russia is just fighting with nezi west soldiers only,1
"@pisablavatsky-cb3dd  Sure, bot. That's why they are still fighting. Can't even defeat a third world country.",1
" @NPC6013  Russia is now fighting with nezi west countries which consist of 35 western advanced countries.hi, kiddo! go back to school.",1
" @pisablavatsky-cb3dd  through proxy, bot. How do you think Russia is gonna fight them directly?",1
 @NPC6013  nukes... Booooooom... Nezis flies and disappears into thin air,0
" @NPC6013  Yes I agree that USA has far more planes, But China’s A2AD capabilities would ensure a big number of US planes would splash in the ocean.",1
" @NPC6013  what you don't seem to comprehend or are ignorant of the fact is that Ukraine is supported by usa and nato, financially, military etc - so it should be said that Ukraine (with usa and nato backing them) cannot even defeat Russia.",0
Chinese bots not able to swallow facts,0
Winnie the Pooh (Xi) is playing a dangerous game. Winnie will regret later!,0
India always at the top of moral mountain ,1
"When China wins a war in the battlefield, you can talk other than that. Sit your a$$ down ",1
China more naval ship but all of this is low quality ,1
but they are still 10 yrs behind with the US in technology. quality vs quantity,0
Maybe the first super evil. He wants to overcome Hitler.,0
中国人爱习近平  chinese love xi ,1
"Recognize the reality, China has never been arrogant, China has been low-key development, from an agricultural country to the largest industrialized country now developing industrial modernization, the real arrogance is India.",1
your ignorance really shows ,1
 @user-cy3ts5xt6c  Do you live in China? If not take a trip and tell me how all that growth and development is coming.,1
​ @walkw5271  no I do not live in China but all the reports show that China is on track to meet expected gdp growth of 5.8% this year while usa will have difficulty even attaining 2% growth - which is not surprising seeing that usa national debt is breaching $35 TRILLION - the largest in the world!!,0
"Why are you comparing with us? Both countries don't have the same histories indian never intended to attack China or take chinnese land, wouldn't you except a bold defence move from ours side?",1
"​ @Pikachu.440 
You have already occupied south Tibet. Read the book ""Nehru, Tibet China"" written by Indian author Avtar Singh Bhasin and everything becomes clear.",1
" @Pikachu.440  Sikkim is a country, where is it now? Should big countries bully small and weak countries? Do all the neighboring countries around India have conflicts with India? Is it all the fault of the neighboring countries?",0
Then why US is afraid?? ,0
 @hindhtvaterrorism4559  Do not sell it to india Huawei pura 70 ultra. let them use old fashioned  phones.,1
With one carrier and 3 ships lol made with old technology from Russia  copied in India.,1
Oi poor,0
This is something called inferiority complex,0
"Japan's Senkaku Island belongs to China , but sea around Philipines will be debatable and grey area",0
"China super power in fake battle ship? Military, air force, and rocket ",0
"China has no choice but to have a strong military power; otherwise, it will be turned into meat paste by the United States. As warmly reminded by Blinken, “If you're not at the table, you're on the menu.” Actually, there are already more than 130 military bases around China. And more importantly, ""more are coming to the region to deploy a range of new weapons systems there."" Per Samuel Paparo, the commander of the US Indo-Pacific Command.",1
"@4:30, in fact Senkaku Islands ownership is under 3-way debate, your statement is one-sided: 1) Japan annexed RyuKyu Kingdom(renames it Okinawa) in 1879, and Japan thinks Senkaku Islands is part of the used-Kingdom. 2) Senkaku Islands used to be Taiwan (the Republic of China) fisherman's fishing ground, and claims it's Taiwan's territory. 3) China thinks it inherits all the Republic of China's territory & right, which includes Taiwan and in turn Senkaku Islands.",1
Never in world history.china was or is the most powerful navy.ok..its the mighty tamils empire of pandiya kings n chola empire n pallavan..cheran.rule entire indian ocean n strait of Malacca,1
I wonder what is wrong in being stronger,0
"Firstpost, focus on India's development and quit whining if you ever want to come remotely close to what China has achieve. China only pick fights with those vassal state (Philippines) even if the disputed water are claimed by multiple countries.",0
"US President Two Men are very soft so 
China ~ Iran and North Korea are very strong.",1
"Pretending to be strong. Contrary, it was so weak. Crazy nation",0
The next naval superpower while its people are still eating fake foods and products. ,0
"According to the principles of international law, China has the right to assert sovereignty over Scarborough Shoal. First, international law encourages countries to resolve territorial disputes through historical origins, and China can date back to ancient historical periods to prove its long-term inherent sovereignty over Scarborough Shoal. Second, according to the United Nations Convention on the Law of the Sea, countries have the right to claim sovereignty over maritime areas belonging to their territory, including territorial sea, exclusive economic zone and continental shelf. Huangyan Island is part of China's territory, and China enjoys sovereignty over the waters near Huangyan Island and its resources. Therefore, international law supports China’s claim to Scarborough Shoal.The Philippines is clearly a watchdog of the United States.",1
Yes they do but its fragile...they don't have the means to replace their soldiers cause of the prior child policies ..The west is in a similar issue due to LBQT,0
"No one can defeat US, america is very strong and advance technology ",1
You are Unfair and untruth...instead for us malaysia is a long history of relationship with china is harmony and respect...and we hope this contunue for the future...,0
No no she got all wrong. Indian is the true superpower in this world. Anyone here dares to step foot on Indian soil? Or standing next to one? Definitely not me,0
He is not a dictator and he is a leader knows how to protect his beloved country China.,1
What is the use of biggest navy assets all made in china low quality all emitation. Maybe there missiles also not accurate.,0
Palki is all positive news for her beloved India ! Very UNFAIR .,1
"Dictator means  may rule in a cruel or brutal manner, and may limit citizens' rights and freedoms. Dictators are motivated by self-interest and may manipulate or control others to maintain their power. Does he? Who is mostly likely to fit the role that rode roughshod over the locals and other people  most of the time?  US presidents?",0
Someday Philippines is become super power in the world God bless Philippines,1
"big but not super power... weak and no fighting strategy. the area of naval and sea lanes are too small, that's why they wanted to grab the entire WPS.",0
"It does not mean they will rule the Whole World ,,,God will not permit the evil to rule His world that He created No question at All…",0
"India can't beat China in any real-life war (1962) or in any economic war, thus, they could only do it online as keyboard warriors in a propaganda war knowing that China banned YouTube or Google. I know what you are going to say, Indian bots, but 1967 is not a war but only a 3-day battle/skirmish from 11/09/1967 to 14/09/1967 (Nathu La).",1
Indian propaganda.,0
"china will never win with the u.s.a. in a  war its not the quantity its about qualitly and accurancy of war machines such aircraft & career battleships and war experience and china never win in the war... philippines soldiers fought china in korean war 900 phil soldiers against 10,000 chinese soldier the chinese soldiers never take over the position of the phil soldiers thats the examples of quantity to a quality",0
It's just show of elegance but their soldiers no real ability to fight.,0
Only for propaganda purposes. But their sailors run when they heard a loud BANG. They are blind during night..,0
thats your opinion. this is just a  chinese propaganda,0
"Rubbish headlines, illed minded and jealously, bias and pro western or Indian news channel..

Sick of this news channel",0
U.s  and nato..and alies  are the largest  navy ang military nothing else,0
Good morning First Post ️,1
"Huwag mag claim na super power dahil magagalit ang PANGINOON JESUS-CHRISTO.ALISIN ng PANGINOON ang mga taong nag claim na super power,only God is the most powerful God on Earth Ang mundo ay ginawa ng PANGINOON na maging Paradise kung sisirain ang mundo, aalisin sa mapa ang magsira sa kalikasan,mark my word☝️☝",1
BRAVO MIGHTY CHINA........,1
"Next naval power with low quality aircraft carriers, common china..no ro originality,",0
oing propaganda aga China for your master    So obvious.,0
"Xi is not a Dictator , indeed he's doing what's good for his people in general,working for common progress ,,, !
Keep going Great China (Dragon)",1
Fake yarn Wala pa Sila npatunayan,0
But at least he is better than modi,1
Bring Fake Weapons Lets See,0
Dictator look at the definition again  vs behavior of certain countries globally and you will have a better definition. And oh true believers of democracy don't mind others shining and developing and telling them what to believe,1
"if all the nations in the world will only follow and respect the 200 miles directed by the United Nations Convention of the Law of the Seas (UNCLOS), there will be peace and tranquility of all the seas and to the whole wide world. international waterways is owned by nobody but of all the nations of the earth, big or small,  rich or poor.",0
Firstpost keep ur heart aligned to truthful title heading.,1
Not china  strong army united States  number 1 strong army,1
Is russia developing a new aircraft carrier,1
Always negative narrative against China ,0
It's it HOT UP   ,1
"Nakamasid lang Ang dios sa kanila,,Ang mga super fake na ito,,sisingilin din kayo Ng dios",0
Another propaganda ,0
"@tonywoo3211.
Super toilet",1
stupid and silly theme.. No respect for others,0
VERY VERY VERY SCARY THE sting ray....HAHAHHHHH HAHAHHHHH,0
China’s fleets are so new!,1
Shame on First post calling xi dictator,1
Fake,0
Maybe super armpit power they need deodorant ,1
And inexperienced.,0
Chinis ship very poor Quality hahaha,0
Your nothing but trying hard copy cut,0
"superpower india 2023
#111 in Hunger index 
#161 in Freedom Press index 
#126 in Happy index
 #139 in GDP per capita 
#134 in HDI index 
#148 in Women, Peace And Security Index
#1 pollution

10% earn<180 rupees per day 
45% earn <300 rupees per day 
1% of the rich controls almost 50% of the country wealth",1
"Meanwhile, according to the China Military Power Report published by the Pentagon, as of October 2023, China has the numerically largest navy in the world with an overall battle force of approximately 370 surface ships and submarines, including over 140 major surface combatants — in comparison, according to the U.S And the USA has 400+ military bases containing china all with missles aimed at chinese ships its going be a easy war",0
"fake news,",0
China small country whts to do,0
what a toilet accent :face-purple-crying:,0
We really want to see china take-on US navy. Hope xi jinping is not just all talks n no action. I put my bets on US navy..,1
"chinas soldiers NO HIGHLY TRAININGs ..US.JAPAN..AUTRALIA, IS A WARRIOR ALL THE TIME..china is CRYING ALL THE TIME....chinas AIR CRAFT is LIKE A CARTOONS...LICE INSIDE",0
Fake news,0
"but did they also mention China's hypersonic missiles are also aimed at all the usa carrier groups??
lol you think it's going to be an easy war? you mean same as when trump said trade wars are easy to win??  
",1
 @user-cy3ts5xt6c  china slow hypersonic missiles are no match for light speed wepons on USA carrier ships. High-Power LASER On US Aircraft Carrier SHOCKED The World:face-blue-smiling::text-green-game-over:,0
" @shawnsmith524  lol us chairman of the joint chiefs of staff already admitted usa has no defence against hypersonic missiles, not even your so-called ""high-power lasers"" - go read the report! :face-blue-smiling::text-green-game-over:",1
"Yeah, but bigger than India little bit, is enough. Cause we don’t compare with small potato India, we compare to America only",0
"the lice is in your hair, dalit - that's why you crying all the time ",0
superpower only in you tube & tiktok  but in reality a weak army ...,0
fake news,0
"""Dictator""  I don't see Chinese being obsessed with India the way India is obsessed with china",0
"What's the point of being number 1 if it will only be at the ports/docks it will be a target practice by surrounding nations. Now that everyone is upgrading its medium to long range missiles like India, Vietnam, Taiwan, Japan, Philippines,  South Korea and Australia.",0
The arrogance you learn from the west will enable your pride goes before your fall. What do you mean by dictator. Is it your sovereignty,0
"Indians claimed that the 1967 conflict between China and India was a ""war"" but couldn't provide the dates which the ""war"" occurred. All historians said that there was no war between China and India in 1967 but only Indian historians. A 3-day battle from 11/09/1967 to 14/09/1967 (Nathu La) is the actual fact. War lasts for months or years. Skirmish lasted merely days. An English dictionary may help them",0
you mean usa?,0
" @riyeshgurjar3716  Tell me: Was there an India before the British came to South Asia? If there was India, which Indian dynasty ruled the territory of present-day India? It was illegal for India to inherit British colonies. If it is legal, then Canada, USA, Australia should also belong to India",0
" @user-hw9mr6il2f  yes India was always existed, because Hindusim is the proof that is the oldest religion on the world, India was before british, just the problem was we Indian never tried to unite ourself, just divided, 

mean while, in china all the history theory is actually manipulated, search for 
1. Maratha Empire, 
2. Kushan Empire
3. Sikh Empire, 
4. Chola Empire, 

There are many more than that, Exsistance of India, Indias religion Hindusim is the worlds oldrst religion and was alredy exsisted in India, and Buddhism is also originated from India, now you talk about the people of India colonosed,  you are targeting people who look similar to you, we dont need to claim USA Canadian people to be Indian, we are the most diversed country and Democratic country citizen, however also your ""Debt Trap"" that you are using against Pakistan and Maldives, is also an issue, 

I would like to say 
""War for no reason leads to destruction""",1
" @riyeshgurjar3716  Today's India is illegally made by the British. If India is Bharat then Bharat only includes Uttar Pradesh and part of Haryana, the rest is illegal territory.",0
" @riyeshgurjar3716  In 1947, British dad made India hahaha",1
" @user-hw9mr6il2f  Seems that you have nothing to say, making your own joke, nice try, but there is nothing you can do ",1
 @Masterblaster6072  Indian bot thinks that everyone who criticized India/Indians must be a Pakistani because everyone in this world loves Indians Indian bot coping mechanism is real,1
" @Masterblaster6072  Cheap words versus pictorial and video proof. Here is the truth, enjoy, as shown in Oct 10th 2021, The Express Tribune, with title ""Indians furious. x2:text-green-game-over::face-green-smiling:",1
" @Masterblaster6072  Why is Santosh Babu unalive but Qi FaBao alive? India won? Only in Bollywood? Here is the truth, enjoy, as shown in Oct 10th 2021, The Express Tribune, with title ""Indians furious. x4 ",1
" @Masterblaster6072  Source from Bollywood. Here is the real proof: as shown in Oct 10th 2021, The Express Tribune, with title ""Indians furious.",1
nothing experience in real war,1
"World ship building capacity 2024,China rank no 1 with 53%,following Korea and Japan,  US fall far behind only 3%.",0
in your dreams.  show the world you can go against the USA. and no more nonsense talks. ,0
"There is no doubt, China will rule the world.... Long live China- France friendship ",1
They proud to be a copy cat..no originality..what do expect to them..they are like xerox copy country..,1
And others only have outdated books ,0
Yah largest navy in numbers but their quality and capabilities are not yet comparable to the Almighty US navy but they are catching up in due time k!,1
Calling the head of state of a major asian nation by- Dictator is an insult and very childish. A hint of major jealousy is detected.,0
WTF made in china its a fake substandard military weapon,0
Because Bejing likes to be a bully wow  is this comedy?,1
Maybe china surpasses american military power and economy,0
Wion is a biased media like many floating on net and Palki is also a biased reporter like others,1
